ostrinia_nubilalis	drosophila_melanogaster
XP_063830109.1	NP_511098.1
XP_063830113.1	NP_609685.1
XP_063830114.1	NP_651979.1
XP_063830115.1	NP_788872.1
XP_063830116.1	NP_573096.1
XP_063830117.1	NP_001036552.1
XP_063830120.1	NP_648527.1
XP_063830121.1	NP_652721.1
XP_063830122.1	NP_524364.2
XP_063830130.1	NP_723504.1
XP_063830131.1	NP_476929.1
XP_063830133.1	NP_572375.1
XP_063830136.1	NP_650162.1
XP_063830137.1	NP_523368.2
XP_063830140.1	NP_649440.3
XP_063830142.1	NP_573023.2
XP_063830146.1	NP_572346.1
XP_063830149.1	NP_476869.1
XP_063830153.1	NP_649908.1
XP_063830156.1	NP_572972.1
XP_063830157.1	NP_570027.1
XP_063830158.1	NP_651365.1
XP_063830161.1	NP_650440.2
XP_063830164.1	NP_651892.1
XP_063830165.1	NP_649759.1
XP_063830166.1	NP_996440.2
XP_063830168.1	NP_572766.1
XP_063830174.1	NP_651934.2
XP_063830178.1	NP_524482.1
XP_063830179.1	NP_001097134.1
XP_063830180.1	NP_524483.1
XP_063830181.1	NP_524481.2
XP_063830182.1	NP_524311.1
XP_063830185.1	NP_001036706.2
XP_063830186.1	NP_511150.1
XP_063830187.1	NP_511132.2
XP_063830188.1	NP_610357.1
XP_063830196.1	NP_651822.1
XP_063830198.1	NP_477464.1
XP_063830202.1	NP_572247.2
XP_063830206.1	NP_001014616.2
XP_063830207.1	NP_573387.1
XP_063830211.1	NP_650070.1
XP_063830214.1	NP_648564.1
XP_063830215.1	NP_001096850.2
XP_063830219.1	NP_788586.1
XP_063830221.1	NP_650843.1
XP_063830222.1	NP_001097360.1
XP_063830223.1	NP_788858.1
XP_063830224.1	NP_001096864.1
XP_063830225.1	NP_727642.1
XP_063830226.1	NP_523832.2
XP_063830232.1	NP_651605.1
XP_063830233.1	NP_001027058.1
XP_063830240.1	NP_608341.1
XP_063830244.1	NP_651390.2
XP_063830248.1	NP_572185.1
XP_063830250.1	NP_731669.2
XP_063830259.1	NP_524160.2
XP_063830264.1	NP_525080.3
XP_063830266.1	NP_476739.1
XP_063830267.1	NP_572495.1
XP_063830274.1	NP_001097796.1
XP_063830275.1	NP_001162829.1
XP_063830276.1	NP_573250.1
XP_063830277.1	NP_001097597.2
XP_063830278.1	NP_651260.3
XP_063830283.1	NP_788357.1
XP_063830287.1	NP_523360.1
XP_063830288.1	NP_649859.1
XP_063830289.1	NP_572613.2
XP_063830291.1	NP_611585.1
XP_063830292.1	NP_524319.2
XP_063830294.1	NP_648572.1
XP_063830296.1	NP_648839.1
XP_063830299.1	NP_525123.2
XP_063830301.1	NP_722737.3
XP_063830317.1	NP_726400.1
XP_063830319.1	NP_648746.1
XP_063830322.1	NP_727440.3
XP_063830328.1	NP_573262.2
XP_063830329.1	NP_477222.1
XP_063830332.1	NP_610248.4
XP_063830335.1	NP_647933.1
XP_063830337.1	NP_476947.1
XP_063830338.1	NP_610143.3
XP_063830341.1	NP_609066.1
XP_063830342.1	NP_477303.1
XP_063830344.1	NP_650198.1
XP_063830347.1	NP_611857.3
XP_063830365.1	NP_511131.3
XP_063830366.1	NP_610794.1
XP_063830367.1	NP_609982.1
XP_063830369.1	NP_610630.1
XP_063830376.1	NP_609412.1
XP_063830383.1	NP_610340.1
XP_063830384.1	NP_610305.1
XP_063830386.1	NP_524119.2
XP_063830387.1	NP_610939.2
XP_063830394.1	NP_651241.1
XP_063830395.1	NP_001036433.1
XP_063830396.1	NP_608999.2
XP_063830399.1	NP_732338.1
XP_063830401.1	NP_525119.1
XP_063830402.1	NP_611071.1
XP_063830409.1	NP_652307.1
XP_063830411.1	NP_608490.1
XP_063830415.1	NP_723505.2
XP_063830418.1	NP_523990.1
XP_063830419.1	NP_001097760.1
XP_063830422.1	NP_650771.1
XP_063830425.1	NP_722612.1
XP_063830426.1	NP_652724.1
XP_063830432.1	NP_609030.1
XP_063830434.1	NP_524852.2
XP_063830437.1	NP_001027396.1
XP_063830439.1	NP_610475.1
XP_063830440.1	NP_609222.1
XP_063830441.1	NP_524768.2
XP_063830442.1	NP_647775.1
XP_063830443.1	NP_572507.1
XP_063830446.1	NP_732865.2
XP_063830452.1	NP_524004.2
XP_063830454.1	NP_723338.1
XP_063830455.1	NP_647887.1
XP_063830456.1	NP_524990.1
XP_063830461.1	NP_524282.4
XP_063830462.1	NP_572452.1
XP_063830465.1	NP_730035.1
XP_063830466.1	NP_650738.1
XP_063830468.1	NP_650121.1
XP_063830469.1	NP_648780.1
XP_063830470.1	NP_649284.1
XP_063830471.1	NP_609879.1
XP_063830480.1	NP_610666.1
XP_063830482.1	NP_523528.1
XP_063830486.1	NP_611539.1
XP_063830487.1	NP_648993.1
XP_063830490.1	NP_611537.2
XP_063830492.1	NP_001097818.1
XP_063830495.1	NP_611538.1
XP_063830496.1	NP_001027083.1
XP_063830497.1	NP_650520.1
XP_063830498.1	NP_524664.1
XP_063830501.1	NP_648076.3
XP_063830502.1	NP_788592.1
XP_063830503.1	NP_611533.2
XP_063830512.1	NP_727781.1
XP_063830513.1	NP_570046.1
XP_063830517.1	NP_524839.3
XP_063830521.1	NP_609378.1
XP_063830527.1	NP_652011.3
XP_063830529.1	NP_788023.1
XP_063830530.1	NP_001097432.1
XP_063830531.1	NP_001036548.1
XP_063830536.1	NP_611508.1
XP_063830537.1	NP_523495.2
XP_063830539.1	NP_572682.1
XP_063830542.1	NP_001027221.1
XP_063830544.1	NP_722835.1
XP_063830546.1	NP_477428.1
XP_063830547.1	NP_477387.1
XP_063830548.1	NP_610326.1
XP_063830556.1	NP_477185.1
XP_063830557.1	NP_524772.2
XP_063830558.1	NP_649574.1
XP_063830560.1	NP_648773.1
XP_063830563.1	NP_610341.2
XP_063830570.1	NP_476849.1
XP_063830576.1	NP_610637.1
XP_063830578.1	NP_572768.1
XP_063830579.1	NP_511119.2
XP_063830580.1	NP_723899.1
XP_063830584.1	NP_724760.2
XP_063830585.1	NP_610233.1
XP_063830592.1	NP_996048.1
XP_063830593.1	NP_996047.1
XP_063830594.1	NP_651217.2
XP_063830597.1	NP_608349.1
XP_063830599.1	NP_524270.2
XP_063830601.1	NP_660194.1
XP_063830603.1	NP_648061.2
XP_063830604.1	NP_524121.2
XP_063830605.1	NP_524966.1
XP_063830615.1	NP_650644.1
XP_063830616.1	NP_647763.1
XP_063830617.1	NP_610937.4
XP_063830619.1	NP_648783.4
XP_063830620.1	NP_611853.2
XP_063830624.1	NP_609934.3
XP_063830626.1	NP_611695.1
XP_063830631.1	NP_612010.1
XP_063830638.1	NP_726490.3
XP_063830639.1	NP_523968.1
XP_063830640.1	NP_610670.2
XP_063830641.1	NP_524831.2
XP_063830645.1	NP_572826.1
XP_063830649.1	NP_572402.1
XP_063830656.1	NP_647673.2
XP_063830658.1	NP_611039.1
XP_063830659.1	NP_525118.2
XP_063830660.1	NP_569968.2
XP_063830661.1	NP_648200.1
XP_063830662.1	NP_648289.2
XP_063830665.1	NP_476691.1
XP_063830669.1	NP_523970.1
XP_063830671.1	NP_477380.1
XP_063830673.1	NP_573109.1
XP_063830675.1	NP_725521.1
XP_063830676.1	NP_610017.1
XP_063830682.1	NP_477090.1
XP_063830683.1	NP_611023.1
XP_063830686.1	NP_610477.2
XP_063830688.1	NP_648781.1
XP_063830689.1	NP_609478.1
XP_063830691.1	NP_652015.1
XP_063830692.1	NP_609643.2
XP_063830693.1	NP_608837.2
XP_063830694.1	NP_611531.2
XP_063830695.1	NP_611332.1
XP_063830697.1	NP_610296.2
XP_063830699.1	NP_536786.1
XP_063830700.1	NP_001033945.1
XP_063830713.1	NP_476887.2
XP_063830717.1	NP_648509.1
XP_063830718.1	NP_611870.3
XP_063830724.1	NP_726051.1
XP_063830726.1	NP_476902.1
XP_063830731.1	NP_608833.1
XP_063830732.1	NP_573088.1
XP_063830733.1	NP_573268.1
XP_063830734.1	NP_995958.2
XP_063830736.1	NP_665890.2
XP_063830740.1	NP_650573.1
XP_063830742.1	NP_573122.1
XP_063830743.1	NP_611371.1
XP_063830746.1	NP_611803.1
XP_063830751.1	NP_724519.1
XP_063830755.1	NP_511063.1
XP_063830757.1	NP_611084.2
XP_063830758.1	NP_477098.1
XP_063830760.1	NP_726243.1
XP_063830761.1	NP_609648.1
XP_063830762.1	NP_609872.1
XP_063830767.1	NP_608986.1
XP_063830768.1	NP_001097279.2
XP_063830769.1	NP_609243.3
XP_063830770.1	NP_610285.5
XP_063830771.1	NP_523671.1
XP_063830772.1	NP_569923.2
XP_063830773.1	NP_536773.1
XP_063830774.1	NP_524644.1
XP_063830775.1	NP_572880.2
XP_063830778.1	NP_477080.1
XP_063830779.1	NP_610292.2
XP_063830780.1	NP_611353.1
XP_063830781.1	NP_523827.1
XP_063830783.1	NP_611934.1
XP_063830784.1	NP_610339.1
XP_063830786.1	NP_523598.2
XP_063830787.1	NP_726495.3
XP_063830794.1	NP_611117.2
XP_063830795.1	NP_609916.5
XP_063830799.1	NP_523684.2
XP_063830804.1	NP_611963.5
XP_063830805.1	NP_573385.1
XP_063830808.1	NP_476859.2
XP_063830812.1	NP_524711.1
XP_063830813.1	NP_610099.1
XP_063830815.1	NP_610456.4
XP_063830818.1	NP_511075.3
XP_063830819.1	NP_725178.2
XP_063830820.1	NP_649289.2
XP_063830824.1	NP_995863.1
XP_063830826.1	NP_477369.1
XP_063830827.1	NP_477211.1
XP_063830828.1	NP_524819.1
XP_063830829.1	NP_476932.1
XP_063830830.1	NP_524120.1
XP_063830831.1	NP_608743.2
XP_063830836.1	NP_611493.2
XP_063830840.1	NP_725374.1
XP_063830842.1	NP_511142.2
XP_063830843.1	NP_723812.1
XP_063830844.1	NP_572810.1
XP_063830845.1	NP_477193.1
XP_063830850.1	NP_610541.1
XP_063830852.1	NP_523949.2
XP_063830853.1	NP_611572.2
XP_063830854.1	NP_611040.2
XP_063830855.1	NP_611968.1
XP_063830856.1	NP_611931.3
XP_063830861.1	NP_651456.1
XP_063830862.1	NP_608376.1
XP_063830863.1	NP_525105.2
XP_063830864.1	NP_476586.1
XP_063830865.1	NP_611935.1
XP_063830866.1	NP_611739.1
XP_063830872.1	NP_611078.1
XP_063830873.1	NP_523444.1
XP_063830875.1	NP_569977.1
XP_063830876.1	NP_609902.3
XP_063830881.1	NP_476894.1
XP_063830884.1	NP_610542.1
XP_063830885.1	NP_647765.1
XP_063830887.1	NP_647785.3
XP_063830888.1	NP_524115.1
XP_063830894.1	NP_610343.1
XP_063830895.1	NP_523714.2
XP_063830900.1	NP_610048.2
XP_063830905.1	NP_001097423.1
XP_063830910.1	NP_610672.1
XP_063830914.1	NP_523814.1
XP_063830919.1	NP_610585.2
XP_063830920.1	NP_648968.2
XP_063830921.1	NP_611413.2
XP_063830922.1	NP_648992.1
XP_063830923.1	NP_477432.3
XP_063830927.1	NP_648550.1
XP_063830928.1	NP_609966.1
XP_063830930.1	NP_611965.2
XP_063830931.1	NP_650495.1
XP_063830935.1	NP_611874.1
XP_063830936.1	NP_611792.1
XP_063830939.1	NP_725632.1
XP_063830945.1	NP_610956.1
XP_063830947.1	NP_648213.1
XP_063830951.1	NP_610192.1
XP_063830952.1	NP_611080.1
XP_063830955.1	NP_610963.1
XP_063830958.1	NP_648633.2
XP_063830960.1	NP_609377.1
XP_063830961.1	NP_648453.1
XP_063830962.1	NP_610801.1
XP_063830963.1	NP_611285.2
XP_063830964.1	NP_724056.1
XP_063830965.1	NP_725048.1
XP_063830966.1	NP_649385.1
XP_063830968.1	NP_611049.1
XP_063830973.1	NP_649001.1
XP_063830974.1	NP_649966.1
XP_063830978.1	NP_610960.1
XP_063830980.1	NP_609406.2
XP_063830982.1	NP_001036596.2
XP_063830985.1	NP_652376.2
XP_063830989.1	NP_611530.5
XP_063830990.1	NP_525036.2
XP_063830997.1	NP_524541.3
XP_063830998.1	NP_611292.2
XP_063831001.1	NP_611814.3
XP_063831002.1	NP_648199.1
XP_063831005.1	NP_523697.1
XP_063831006.1	NP_608777.1
XP_063831007.1	NP_524678.3
XP_063831008.1	NP_523664.1
XP_063831015.1	NP_611532.2
XP_063831016.1	NP_650428.1
XP_063831017.1	NP_610467.1
XP_063831018.1	NP_608393.1
XP_063831021.1	NP_610186.2
XP_063831024.1	NP_610534.3
XP_063831025.1	NP_523856.2
XP_063831027.1	NP_573334.1
XP_063831034.1	NP_524688.1
XP_063831037.1	NP_610282.1
XP_063831038.1	NP_523938.2
XP_063831042.1	NP_650208.1
XP_063831043.1	NP_523422.4
XP_063831044.1	NP_610950.2
XP_063831046.1	NP_609915.1
XP_063831047.1	NP_649611.2
XP_063831055.1	NP_001036687.1
XP_063831063.1	NP_726318.1
XP_063831064.1	NP_611869.1
XP_063831067.1	NP_995671.2
XP_063831068.1	NP_608378.2
XP_063831070.1	NP_651867.2
XP_063831084.1	NP_650016.1
XP_063831087.1	NP_610732.1
XP_063831088.1	NP_001097638.1
XP_063831090.1	NP_651977.1
XP_063831093.1	NP_524318.1
XP_063831094.1	NP_511133.2
XP_063831097.1	NP_524673.3
XP_063831101.1	NP_477419.1
XP_063831105.1	NP_649971.1
XP_063831108.1	NP_650732.1
XP_063831110.1	NP_651895.2
XP_063831112.1	NP_610610.1
XP_063831114.1	NP_649972.1
XP_063831115.1	NP_650450.1
XP_063831118.1	NP_650305.1
XP_063831119.1	NP_524300.1
XP_063831121.1	NP_476676.1
XP_063831122.1	NP_609388.1
XP_063831124.1	NP_524583.1
XP_063831125.1	NP_609744.2
XP_063831126.1	NP_524984.1
XP_063831127.1	NP_649891.1
XP_063831131.1	NP_651566.1
XP_063831133.1	NP_649772.1
XP_063831136.1	NP_572770.1
XP_063831141.1	NP_001369010.1
XP_063831150.1	NP_649226.1
XP_063831152.1	NP_651770.1
XP_063831156.1	NP_649934.1
XP_063831157.1	NP_476886.1
XP_063831160.1	NP_652548.1
XP_063831164.1	NP_651200.1
XP_063831165.1	NP_651498.1
XP_063831166.1	NP_733018.1
XP_063831167.1	NP_651312.2
XP_063831169.1	NP_647771.1
XP_063831170.1	NP_650961.2
XP_063831175.1	NP_524032.2
XP_063831177.1	NP_650710.3
XP_063831178.1	NP_651274.1
XP_063831179.1	NP_477194.1
XP_063831180.1	NP_572931.1
XP_063831182.1	NP_649596.1
XP_063831183.1	NP_732771.2
XP_063831184.1	NP_477342.1
XP_063831185.1	NP_610306.1
XP_063831188.1	NP_608993.2
XP_063831190.1	NP_649942.1
XP_063831191.1	NP_651094.2
XP_063831192.1	NP_608652.1
XP_063831193.1	NP_649943.2
XP_063831195.1	NP_524464.1
XP_063831196.1	NP_651180.3
XP_063831197.1	NP_651181.1
XP_063831198.1	NP_610876.1
XP_063831199.1	NP_651179.1
XP_063831202.1	NP_609310.2
XP_063831209.1	NP_524946.1
XP_063831210.1	NP_788681.1
XP_063831213.1	NP_609133.2
XP_063831214.1	NP_476576.1
XP_063831219.1	NP_608950.3
XP_063831221.1	NP_523478.1
XP_063831223.1	NP_650963.2
XP_063831224.1	NP_651755.2
XP_063831226.1	NP_001163720.1
XP_063831227.1	NP_652228.1
XP_063831229.1	NP_651341.2
XP_063831232.1	NP_001287601.1
XP_063831233.1	NP_511061.1
XP_063831235.1	NP_570088.1
XP_063831236.1	NP_651350.2
XP_063831238.1	NP_651351.1
XP_063831239.1	NP_651346.1
XP_063831240.1	NP_649568.1
XP_063831241.1	NP_730978.1
XP_063831242.1	NP_649788.2
XP_063831244.1	NP_610159.1
XP_063831245.1	NP_608739.1
XP_063831246.1	NP_651727.1
XP_063831247.1	NP_650918.1
XP_063831248.1	NP_610400.1
XP_063831249.1	NP_610254.1
XP_063831250.1	NP_524172.1
XP_063831251.1	NP_650352.1
XP_063831256.1	NP_001033823.1
XP_063831257.1	NP_731983.1
XP_063831261.1	NP_610325.1
XP_063831263.1	NP_732721.1
XP_063831264.1	NP_651899.2
XP_063831267.1	NP_649516.1
XP_063831268.1	NP_650405.2
XP_063831269.1	NP_649954.1
XP_063831271.1	NP_524494.1
XP_063831273.1	NP_649436.2
XP_063831274.1	NP_610389.3
XP_063831275.1	NP_650962.1
XP_063831279.1	NP_001027403.2
XP_063831280.1	NP_524315.2
XP_063831282.1	NP_649886.1
XP_063831286.1	NP_477360.2
XP_063831287.1	NP_650353.1
XP_063831289.1	NP_608885.1
XP_063831291.1	NP_001097731.1
XP_063831293.1	NP_649946.1
XP_063831295.1	NP_477159.1
XP_063831297.1	NP_523931.1
XP_063831298.1	NP_524469.2
XP_063831299.1	NP_524184.1
XP_063831304.1	NP_649578.1
XP_063831305.1	NP_573077.2
XP_063831310.1	NP_651728.1
XP_063831313.1	NP_651221.1
XP_063831316.1	NP_611851.1
XP_063831318.1	NP_001096958.1
XP_063831320.1	NP_650452.1
XP_063831321.1	NP_650540.1
XP_063831325.1	NP_648806.1
XP_063831326.1	NP_651988.2
XP_063831328.1	NP_651192.1
XP_063831329.1	NP_650331.1
XP_063831330.1	NP_651219.1
XP_063831331.1	NP_650355.2
XP_063831333.1	NP_651029.1
XP_063831335.1	NP_650645.1
XP_063831336.1	NP_651151.1
XP_063831338.1	NP_525073.1
XP_063831339.1	NP_608424.1
XP_063831342.1	NP_651331.1
XP_063831345.1	NP_651569.1
XP_063831346.1	NP_609012.2
XP_063831348.1	NP_524452.4
XP_063831349.1	NP_573240.1
XP_063831350.1	NP_788721.1
XP_063831351.1	NP_651634.1
XP_063831352.1	NP_651894.3
XP_063831353.1	NP_524306.3
XP_063831355.1	NP_524461.2
XP_063831360.1	NP_651218.1
XP_063831363.1	NP_523916.2
XP_063831365.1	NP_524363.3
XP_063831367.1	NP_649097.1
XP_063831369.1	NP_650984.1
XP_063831371.1	NP_650723.1
XP_063831372.1	NP_477254.1
XP_063831377.1	NP_650126.2
XP_063831378.1	NP_524994.2
XP_063831381.1	NP_649674.1
XP_063831384.1	NP_649773.1
XP_063831386.1	NP_536747.2
XP_063831387.1	NP_569833.1
XP_063831392.1	NP_651194.1
XP_063831393.1	NP_569870.1
XP_063831394.1	NP_001036641.1
XP_063831399.1	NP_649936.1
XP_063831402.1	NP_476741.1
XP_063831403.1	NP_649523.1
XP_063831404.1	NP_610175.2
XP_063831405.1	NP_612015.1
XP_063831409.1	NP_649939.1
XP_063831410.1	NP_651202.1
XP_063831414.1	NP_001036387.1
XP_063831415.1	NP_651517.1
XP_063831416.1	NP_649814.1
XP_063831418.1	NP_611862.1
XP_063831420.1	NP_001015499.4
XP_063831423.1	NP_651715.1
XP_063831424.1	NP_536745.4
XP_063831425.1	NP_524308.2
XP_063831426.1	NP_649757.1
XP_063831427.1	NP_651581.2
XP_063831430.1	NP_650609.1
XP_063831434.1	NP_650610.1
XP_063831435.1	NP_650381.1
XP_063831436.1	NP_733206.3
XP_063831438.1	NP_610523.2
XP_063831440.1	NP_651418.1
XP_063831441.1	NP_477433.2
XP_063831445.1	NP_651722.1
XP_063831447.1	NP_651718.1
XP_063831448.1	NP_651719.1
XP_063831449.1	NP_524351.1
XP_063831450.1	NP_649658.1
XP_063831451.1	NP_573302.1
XP_063831452.1	NP_572257.2
XP_063831453.1	NP_650304.2
XP_063831458.1	NP_524465.1
XP_063831459.1	NP_524467.1
XP_063831460.1	NP_525010.1
XP_063831461.1	NP_001027577.2
XP_063831464.1	NP_572178.1
XP_063831465.1	NP_650618.1
XP_063831467.1	NP_732572.1
XP_063831477.1	NP_001036681.1
XP_063831479.1	NP_572390.1
XP_063831483.1	NP_650379.1
XP_063831484.1	NP_650616.2
XP_063831485.1	NP_649025.1
XP_063831486.1	NP_572556.1
XP_063831487.1	NP_524466.1
XP_063831488.1	NP_524542.1
XP_063831489.1	NP_569948.3
XP_063831490.1	NP_524584.2
XP_063831493.1	NP_649454.3
XP_063831497.1	NP_647858.2
XP_063831498.1	NP_650880.3
XP_063831499.1	NP_524317.4
XP_063831501.1	NP_732610.1
XP_063831504.1	NP_611807.1
XP_063831505.1	NP_650367.1
XP_063831507.1	NP_524366.1
XP_063831510.1	NP_651206.3
XP_063831511.1	NP_569858.1
XP_063831512.1	NP_649521.1
XP_063831513.1	NP_001097690.1
XP_063831514.1	NP_650049.1
XP_063831515.1	NP_651670.1
XP_063831516.1	NP_651323.3
XP_063831519.1	NP_524471.2
XP_063831520.1	NP_649752.2
XP_063831523.1	NP_650015.3
XP_063831526.1	NP_649525.1
XP_063831527.1	NP_650681.2
XP_063831528.1	NP_651266.1
XP_063831529.1	NP_732942.1
XP_063831534.1	NP_524272.4
XP_063831539.1	NP_788728.1
XP_063831541.1	NP_524287.1
XP_063831542.1	NP_649895.1
XP_063831546.1	NP_651658.1
XP_063831547.1	NP_524826.1
XP_063831548.1	NP_648183.3
XP_063831549.1	NP_572631.3
XP_063831553.1	NP_650017.1
XP_063831556.1	NP_572963.1
XP_063831565.1	NP_524853.2
XP_063831566.1	NP_649313.1
XP_063831567.1	NP_651499.2
XP_063831568.1	NP_651621.2
XP_063831571.1	NP_651701.1
XP_063831572.1	NP_610487.3
XP_063831575.1	NP_733202.2
XP_063831577.1	NP_573214.1
XP_063831579.1	NP_650257.1
XP_063831580.1	NP_524530.2
XP_063831584.1	NP_572736.1
XP_063831586.1	NP_612057.1
XP_063831590.1	NP_524322.1
XP_063831593.1	NP_609082.1
XP_063831596.1	NP_524423.2
XP_063831597.1	NP_477230.1
XP_063831598.1	NP_649910.3
XP_063831600.1	NP_524362.2
XP_063831607.1	NP_651570.1
XP_063831610.1	NP_001034052.2
XP_063831612.1	NP_524527.3
XP_063831613.1	NP_649149.1
XP_063831615.1	NP_524545.2
XP_063831620.1	NP_731351.3
XP_063831624.1	NP_611875.1
XP_063831628.1	NP_001015473.1
XP_063831629.1	NP_001096987.2
XP_063831630.1	NP_536734.2
XP_063831631.1	NP_524532.2
XP_063831632.1	NP_651245.1
XP_063831633.1	NP_650001.2
XP_063831635.1	NP_733081.1
XP_063831636.1	NP_524850.2
XP_063831637.1	NP_523932.2
XP_063831639.1	NP_651340.1
XP_063831640.1	NP_609890.2
XP_063831643.1	NP_651342.3
XP_063831644.1	NP_001036757.1
XP_063831645.1	NP_649566.2
XP_063831646.1	NP_524418.2
XP_063831649.1	NP_651635.2
XP_063831650.1	NP_524462.2
XP_063831651.1	NP_001303492.1
XP_063831652.1	NP_001097136.2
XP_063831655.1	NP_647748.1
XP_063831656.1	NP_649952.1
XP_063831659.1	NP_649756.2
XP_063831663.1	NP_001097911.1
XP_063831664.1	NP_569849.1
XP_063831665.1	NP_573330.3
XP_063831669.1	NP_731647.3
XP_063831670.1	NP_476761.3
XP_063831672.1	NP_649522.1
XP_063831673.1	NP_608934.1
XP_063831676.1	NP_651275.1
XP_063831677.1	NP_651516.1
XP_063831678.1	NP_651560.2
XP_063831681.1	NP_731570.2
XP_063831683.1	NP_611126.1
XP_063831686.1	NP_524291.2
XP_063831687.1	NP_649453.1
XP_063831688.1	NP_611145.1
XP_063831690.1	NP_610137.1
XP_063831691.1	NP_525053.1
XP_063831692.1	NP_476611.1
XP_063831694.1	NP_477318.1
XP_063831696.1	NP_650642.2
XP_063831699.1	NP_788751.2
XP_063831700.1	NP_649995.2
XP_063831701.1	NP_649593.1
XP_063831702.1	NP_524473.2
XP_063831703.1	NP_649933.1
XP_063831706.1	NP_524449.1
XP_063831708.1	NP_650290.2
XP_063831712.1	NP_610995.1
XP_063831713.1	NP_651080.2
XP_063831718.1	NP_733329.1
XP_063831719.1	NP_573384.1
XP_063831726.1	NP_572275.1
XP_063831730.1	NP_608830.3
XP_063831731.1	NP_610783.1
XP_063831739.1	NP_608903.1
XP_063831740.1	NP_651453.3
XP_063831746.1	NP_610826.1
XP_063831748.1	NP_650104.2
XP_063831749.1	NP_573221.2
XP_063831754.1	NP_573083.2
XP_063831760.1	NP_523776.1
XP_063831761.1	NP_788714.1
XP_063831763.1	NP_647832.1
XP_063831764.1	NP_608811.2
XP_063831765.1	NP_648338.1
XP_063831767.1	NP_572352.1
XP_063831770.1	NP_609035.2
XP_063831774.1	NP_476893.1
XP_063831776.1	NP_608727.1
XP_063831777.1	NP_651914.3
XP_063831780.1	NP_610999.4
XP_063831782.1	NP_648187.1
XP_063831784.1	NP_726978.2
XP_063831785.1	NP_524029.2
XP_063831786.1	NP_611073.2
XP_063831787.1	NP_476702.1
XP_063831793.1	NP_651622.2
XP_063831794.1	NP_523915.1
XP_063831796.1	NP_608938.1
XP_063831798.1	NP_649409.1
XP_063831799.1	NP_733061.1
XP_063831800.1	NP_524621.2
XP_063831801.1	NP_573126.1
XP_063831803.1	NP_651402.1
XP_063831804.1	NP_648971.1
XP_063831807.1	NP_609036.1
XP_063831809.1	NP_001097354.1
XP_063831810.1	NP_649340.1
XP_063831811.1	NP_477179.1
XP_063831815.1	NP_573247.2
XP_063831819.1	NP_573382.1
XP_063831821.1	NP_609043.1
XP_063831843.1	NP_608957.1
XP_063831845.1	NP_609998.1
XP_063831855.1	NP_524489.2
XP_063831856.1	NP_609792.1
XP_063831858.1	NP_611791.2
XP_063831861.1	NP_476927.1
XP_063831862.1	NP_611751.1
XP_063831863.1	NP_650714.1
XP_063831864.1	NP_572530.1
XP_063831865.1	NP_609232.2
XP_063831870.1	NP_511113.1
XP_063831871.1	NP_648026.1
XP_063831875.1	NP_476768.1
XP_063831876.1	NP_724939.1
XP_063831879.1	NP_523940.2
XP_063831880.1	NP_652045.1
XP_063831881.1	NP_523532.1
XP_063831883.1	NP_476948.1
XP_063831885.1	NP_648313.1
XP_063831887.1	NP_611263.1
XP_063831888.1	NP_573172.2
XP_063831890.1	NP_477128.1
XP_063831893.1	NP_609363.1
XP_063831900.1	NP_649810.1
XP_063831909.1	NP_788697.1
XP_063831911.1	NP_523864.3
XP_063831914.1	NP_524638.3
XP_063831917.1	NP_572407.3
XP_063831919.1	NP_996140.1
XP_063831920.1	NP_647893.2
XP_063831921.1	NP_524440.2
XP_063831929.1	NP_524552.1
XP_063831932.1	NP_648586.2
XP_063831933.1	NP_523357.2
XP_063831934.1	NP_649493.1
XP_063831935.1	NP_647794.1
XP_063831939.1	NP_649220.1
XP_063831942.1	NP_609354.1
XP_063831944.1	NP_608958.2
XP_063831945.1	NP_610588.2
XP_063831947.1	NP_648319.1
XP_063831948.1	NP_610796.1
XP_063831949.1	NP_730291.1
XP_063831950.1	NP_523724.2
XP_063831951.1	NP_572181.4
XP_063831952.1	NP_001097074.1
XP_063831954.1	NP_647643.1
XP_063831955.1	NP_523489.1
XP_063831959.1	NP_611790.1
XP_063831966.1	NP_651061.1
XP_063831968.1	NP_476945.1
XP_063831973.1	NP_610536.1
XP_063831977.1	NP_572288.1
XP_063831979.1	NP_733048.1
XP_063831980.1	NP_650987.1
XP_063831981.1	NP_733418.1
XP_063831985.1	NP_650207.1
XP_063831986.1	NP_648206.1
XP_063831991.1	NP_733416.2
XP_063831992.1	NP_524603.2
XP_063831993.1	NP_477024.1
XP_063831994.1	NP_609239.1
XP_063831995.1	NP_610514.1
XP_063831996.1	NP_731045.1
XP_063831997.1	NP_608792.1
XP_063831999.1	NP_647846.2
XP_063832000.1	NP_611685.1
XP_063832001.1	NP_477088.2
XP_063832002.1	NP_611549.2
XP_063832003.1	NP_524932.2
XP_063832013.1	NP_524408.1
XP_063832017.1	NP_001137693.2
XP_063832018.1	NP_610848.1
XP_063832020.1	NP_649906.1
XP_063832022.1	NP_476821.1
XP_063832023.1	NP_722949.1
XP_063832024.1	NP_477184.1
XP_063832027.1	NP_609094.1
XP_063832029.1	NP_609610.2
XP_063832031.1	NP_572336.2
XP_063832033.1	NP_572841.1
XP_063832034.1	NP_523490.1
XP_063832039.1	NP_477481.1
XP_063832040.1	NP_476672.1
XP_063832042.1	NP_609336.3
XP_063832045.1	NP_524417.1
XP_063832049.1	NP_649173.1
XP_063832051.1	NP_609231.2
