Gene ID	Protein accession	drosophila_melanogaster	NCBI GeneID	Symbol	Description
135079249	XP_063829914.1				
135079251	XP_063829915.1				
135079102	XP_063829769.1	NP_649858.1	41079.0	Prosbeta3	Proteasome beta3 subunit
135079267	XP_063829950.1	NP_001033805.1	3885565.0	PIP4K	Phosphatidylinositol 5-phosphate 4-kinase
135079268	XP_063829952.1	NP_609655.2	34762.0	Hacd2	3-hydroxyacyl-CoA dehydratase 2
135079270	XP_063829955.1	NP_572318.1	31578.0	ND-B16.6	NADH dehydrogenase (ubiquinone) B16.6 subunit
135079103	XP_063829770.1				
135079104	XP_063829771.1				
135079470	XP_063830197.1				
135079271	XP_063829956.1				
135079253	XP_063829916.1	NP_611820.1	37751.0	sigmar	salivary glands marred
135079471	XP_063830198.1	NP_477464.1	40876.0	Syt4	Synaptotagmin 4
135079256	XP_063829935.1	NP_524361.4	41853.0	Tm2	Tropomyosin 2
135079254	XP_063829918.1				
135079105	XP_063829773.1	NP_650442.1	41850.0	MRG15	MORF-related gene 15
135079106	XP_063829775.1	NP_610001.1	35265.0	fbp	fructose-1,6-bisphosphatase
135079257	XP_063829936.1	NP_524750.2	44409.0	Cbp80	cap binding protein 80
135079259	XP_063829939.1	NP_649990.2	41254.0	Sirt6	Sirtuin 6
135079258	XP_063829937.1	NP_611139.1	36856.0	Dolk	Dolichol kinase
135079265	XP_063829948.1	NP_609285.1	34256.0	Aldh	Aldehyde dehydrogenase
135079264	XP_063829947.1				
135079517	XP_063830243.1				
135079518	XP_063830244.1	NP_651390.2	43071.0	rha	rha
135079107	XP_063829776.1				
135079260	XP_063829940.1	NP_650631.1	42105.0	CG5823	uncharacterized protein
135079262	XP_063829941.1	NP_524359.2	41848.0	Cp190	Centrosomal protein 190kD
135079109	XP_063829777.1	NP_572400.1	31679.0	CG15478	uncharacterized protein
135079110	XP_063829778.1	NP_651016.1	42606.0	CG7084	uncharacterized protein
135079273	XP_063829958.1	NP_650572.2	42029.0	CCT3	Chaperonin containing TCP1 subunit 3
135079112	XP_063829780.1				
135079519	XP_063830245.1				
135079522	XP_063830246.1				
135079113	XP_063829781.1	NP_727938.1	64875.0	disco-r	disco-related
135079276	XP_063829961.1	NP_728244.1	32933.0	CG32533	uncharacterized protein
135079284	XP_063829971.1	NP_569994.1	31214.0	CG2924	uncharacterized protein
135079279	XP_063829964.1				
135079278	XP_063829963.1				
135079277	XP_063829962.1				
135079472	XP_063830199.1				
135079473	XP_063830200.1				
135079280	XP_063829969.1	NP_569983.1	31189.0	CG3630	uncharacterized protein
135079283	XP_063829970.1	NP_651949.2	43841.0	unc-13	unc-13
135079115	XP_063829782.1				
135079523	XP_063830247.1				
135079116	XP_063829783.1	NP_569992.1	31212.0	temp	tempura
135079285	XP_063829972.1	NP_652499.2	50363.0	ksh	kish
135079287	XP_063829973.1	NP_523361.1	32569.0	vap	vacuolar peduncle
135079288	XP_063829975.1	NP_523909.2	38456.0	Ubi-p63E	Ubiquitin-63E
135079294	XP_063829981.1	NP_620122.2	42265.0	EndoA	Endophilin A
135079292	XP_063829979.1	NP_572302.2	31557.0	Rbcn-3A	Rabconnectin-3A
135079293	XP_063829980.1	NP_524840.2	45785.0	IleRS	Isoleucyl-tRNA synthetase
135079289	XP_063829977.1	NP_523399.1	32796.0	ari-1	ariadne 1
135079290	XP_063829978.1	NP_523371.2	32619.0	para	paralytic
135079117	XP_063829784.1	NP_609992.1	35255.0	Pmvk	Phosphomevalonate kinase
135079296	XP_063829989.1	NP_524514.2	43162.0	gro	groucho
135079525	XP_063830248.1	NP_572185.1	31410.0	Klf15	Kruppel-like factor 15
135079526	XP_063830249.1				
135079527	XP_063830250.1	NP_731669.2	41469.0	ATP8B	ATPase 8B
135079303	XP_063829998.1	NP_649907.1	41151.0	MBD-like	Methyl-CpG binding domain protein-like
135079300	XP_063829996.1	NP_001286508.1	19835383.0	PIG-V	Phosphatidylinositol glycan anchor biosynthesis class V
135079302	XP_063829997.1	NP_608344.1	32977.0	Ubqn	Ubiquilin
135079297	XP_063829991.1	NP_651549.1	43282.0	TTLL6B	Tubulin tyrosine ligase-like 6B
135079298	XP_063829994.1	NP_511044.1	31441.0	Cdk7	Cyclin-dependent kinase 7
135079299	XP_063829995.1	NP_524784.1	44793.0	abo	abnormal oocyte
135079304	XP_063830001.1				
135079305	XP_063830002.1	NP_650097.2	41398.0	Csk	C-terminal Src kinase
135079118	XP_063829785.1	NP_650443.3	41851.0	l(3)neo43	lethal (3) neo43
135079306	XP_063830003.1				
135079307	XP_063830004.1	NP_651759.4	43558.0	Tace	tace
135079308	XP_063830005.1	NP_523929.2	38580.0	Dhc64C	Dynein heavy chain 64C
135079120	XP_063829786.1				
135079122	XP_063829787.1				
135079324	XP_063830023.1				
135079123	XP_063829789.1				
135079474	XP_063830201.1				
135079528	XP_063830251.1				
135079125	XP_063829790.1				
135079126	XP_063829791.1				
135079529	XP_063830252.1				
135079320	XP_063830019.1	NP_649899.1	41138.0	rump	rumpelstiltskin
135079311	XP_063830011.1	NP_001036437.1	3355010.0	IntS3	Integrator 3
135079312	XP_063830013.1				
135079322	XP_063830021.1	NP_649688.1	40841.0	CG1105	uncharacterized protein
135079317	XP_063830017.1	NP_572767.1	32153.0	Upf1	Upf1 RNA helicase
135079475	XP_063830202.1	NP_572247.2	31490.0	AdamTS-B	ADAM metallopeptidase with thrombospondin type 1 motif B
135079325	XP_063830024.1				
135079315	XP_063830015.1	NP_523539.2	34449.0	Lrr47	Leucine-rich repeat 47
135079314	XP_063830014.1	NP_650098.1	41399.0	Elp1	Elongator complex protein 1
135079318	XP_063830018.1	NP_511167.1	32530.0	mRpS30	mitochondrial ribosomal protein S30
135079327	XP_063830026.1	NP_524043.1	39433.0	eIF2beta	eukaryotic translation initiation factor 2 subunit beta
135079323	XP_063830022.1	NP_649732.1	40916.0	pyd3	pyd3
135079321	XP_063830020.1	NP_647679.1	38256.0	Mfap1	Microfibril-associated protein 1
135079128	XP_063829793.1				
135079316	XP_063830016.1				
135079530	XP_063830253.1				
135079531	XP_063830254.1				
135079339	XP_063830044.1	NP_573102.1	32572.0	dpr18	defective proboscis extension response 18
135079329	XP_063830027.1				
135079330	XP_063830030.1				
135079338	XP_063830042.1	NP_648571.1	39409.0	CrzR	Corazonin receptor
135079336	XP_063830039.1	NP_525078.3	31456.0	SK	small conductance calcium-activated potassium channel
135079532	XP_063830255.1				
135079476	XP_063830204.1				
135079335	XP_063830037.1	NP_572806.2	32202.0	hwt	heavyweight
135079477	XP_063830205.1				
135079340	XP_063830046.1				
135079331	XP_063830032.1				
135079333	XP_063830034.1				
135079332	XP_063830033.1	NP_648895.1	39829.0	TyrRS	Tyrosyl-tRNA synthetase
135079337	XP_063830041.1	NP_649155.3	40171.0	Su(Tpl)	Suppressor of Triplolethal
135079334	XP_063830035.1	NP_730937.1	40661.0	CG31550	uncharacterized protein
135079533	XP_063830256.1				
135079535	XP_063830257.1				
135079343	XP_063830047.1				
135079536	XP_063830258.1				
135079345	XP_063830050.1	NP_788515.1	39834.0	CG33158	uncharacterized protein
135079349	XP_063830059.1	NP_524107.2	39833.0	aos	argos
135079351	XP_063830062.1	NP_730169.1	39831.0	dsx-c73A	doublesex cognate 73A
135079131	XP_063829794.1				
135079350	XP_063830061.1				
135079478	XP_063830206.1	NP_001014616.2	3346160.0	dpr4	defective proboscis extension response 4
135079134	XP_063829795.1				
135079347	XP_063830056.1				
135079136	XP_063829797.1	NP_523889.1	38302.0	mRpL23	mitochondrial ribosomal protein L23
135079348	XP_063830058.1	NP_572576.1	31907.0	Ptpmeg2	Protein tyrosine phosphatase Meg2
135079346	XP_063830052.1				
135079353	XP_063830064.1	NP_730938.1	40663.0	NKCC	sodium potassium chloride cotransporter
135079352	XP_063830063.1	NP_611136.1	36851.0	RpS15	Ribosomal protein S15
135079138	XP_063829798.1	NP_649713.1	40873.0	Dtwd2	DTW domain containing 2
135079537	XP_063830259.1	NP_524160.2	40133.0	ash1	absent, small, or homeotic discs 1
135079538	XP_063830260.1				
135079362	XP_063830074.1	NP_572345.1	31612.0	CG3168	uncharacterized protein
135079479	XP_063830207.1	NP_573387.1	32939.0	CG14200	uncharacterized protein
135079356	XP_063830066.1	NP_726402.1	246496.0	CG30172	uncharacterized protein
135079363	XP_063830076.1				
135079365	XP_063830078.1	NP_651872.1	43718.0	pygo	pygopus
135079139	XP_063829799.1	NP_524022.1	39253.0	mRpL2	mitochondrial ribosomal protein L2
135079358	XP_063830070.1	NP_611350.1	37141.0	Atg7	Autophagy-related 7
135079357	XP_063830067.1				
135079364	XP_063830077.1	NP_511073.1	31700.0	RpS6	Ribosomal protein S6
135079359	XP_063830071.1	NP_525100.2	33704.0	betaggt-I	beta subunit of type I geranylgeranyl transferase
135079360	XP_063830073.1				
135079539	XP_063830261.1				
135079141	XP_063829800.1				
135079367	XP_063830080.1				
135079540	XP_063830262.1				
135079143	XP_063829801.1				
135079144	XP_063829802.1				
135079368	XP_063830081.1				
135079369	XP_063830082.1				
135079145	XP_063829803.1				
135079542	XP_063830263.1				
135079146	XP_063829804.1				
135079147	XP_063829805.1	NP_648417.1	39222.0	OXA1L	OXA1L mitochondrial inner membrane protein
135079148	XP_063829806.1	NP_569993.1	31213.0	CG3071	uncharacterized protein
135079543	XP_063830264.1	NP_525080.3	31800.0	Crag	Calmodulin-binding protein related to a Rab3 GDP/GTP exchange protein
135079378	XP_063830102.1	NP_651396.1	43078.0	CG4553	uncharacterized protein
135079370	XP_063830083.1	NP_572313.1	31573.0	CG3823	uncharacterized protein
135079371	XP_063830084.1				
135079377	XP_063830098.1				
135079379	XP_063830103.1				
135079375	XP_063830089.1	NP_524941.3	49701.0	gish	gilgamesh
135079374	XP_063830087.1				
135079372	XP_063830085.1	NP_524885.1	47220.0	Fur1	Furin 1
135079544	XP_063830265.1				
135079383	XP_063830109.1	NP_511098.1	31872.0	Dsor1	Downstream of raf1
135079545	XP_063830267.1	NP_572495.1	31801.0	Caf1-180	Chromatin assembly factor 1, p180 subunit
135079480	XP_063830208.1	NP_730432.1	40135.0	CG9368	uncharacterized protein
135079151	XP_063829807.1	NP_650571.2	42028.0	CG10324	uncharacterized protein
135079385	XP_063830110.1				
135079386	XP_063830111.1				
135079387	XP_063830113.1	NP_609685.1	34804.0	Smg5	Smg5 nonsense mediated mRNA decay factor
135079390	XP_063830114.1	NP_651979.1	44451.0	ear	ENL/AF9-related
135079392	XP_063830117.1	NP_001036552.1	4379878.0	mRpL34	mitochondrial ribosomal protein L34
135079391	XP_063830116.1	NP_573096.1	32564.0	Slc25A46a	Solute carrier family 25 member 46a
135079152	XP_063829809.1	NP_650437.4	41842.0	CG42404	uncharacterized protein
135079546	XP_063830268.1				
135079547	XP_063830269.1				
135079393	XP_063830118.1				
135079548	XP_063830270.1				
135079549	XP_063830271.1				
135079153	XP_063829811.1				
135079394	XP_063830120.1	NP_648527.1	39353.0	CG7252	uncharacterized protein
135079411	XP_063830141.1				
135079395	XP_063830121.1	NP_652721.1	59253.0	CG18508	uncharacterized protein
135079396	XP_063830122.1	NP_524364.2	41860.0	Fkbp39	FK506-binding protein 39kD
135079154	XP_063829812.1	NP_524002.1	39088.0	RpS17	Ribosomal protein S17
135079550	XP_063830272.1				
135079397	XP_063830124.1				
135079156	XP_063829813.1				
135079399	XP_063830125.1				
135079400	XP_063830126.1				
135079404	XP_063830130.1	NP_723504.1	318997.0	Cpr30F	Cuticular protein 30F
135079402	XP_063830128.1				
135079401	XP_063830127.1				
135079414	XP_063830143.1				
135079157	XP_063829814.1	NP_649969.1	41226.0	CG3909	uncharacterized protein
135079410	XP_063830140.1	NP_649440.3	40529.0	CG14641	uncharacterized protein
135079413	XP_063830142.1	NP_573023.2	32470.0	Scamp	scamp
135079409	XP_063830137.1	NP_523368.2	32604.0	Fur2	Furin 2
135079481	XP_063830209.1				
135079405	XP_063830131.1	NP_476929.1	47895.0	Nmdmc	NAD-dependent methylenetetrahydrofolate dehydrogenase
135079406	XP_063830134.1				
135079407	XP_063830135.1				
135079482	XP_063830210.1				
135079158	XP_063829815.1				
135079408	XP_063830136.1	NP_650162.1	41479.0	Cog1	Component of oligomeric golgi complex 1
135079159	XP_063829816.1				
135079552	XP_063830273.1				
135079553	XP_063830274.1	NP_001097796.1	41816.0	CG6966	uncharacterized protein
135079415	XP_063830144.1				
135079161	XP_063829817.1				
135079554	XP_063830275.1	NP_001162829.1	43835.0	fuss	fussel
135079417	XP_063830146.1	NP_572346.1	31613.0	RpL17	Ribosomal protein L17
135079163	XP_063829818.1				
135079446	XP_063830180.1	NP_524483.1	42920.0	nAChRbeta2	nicotinic Acetylcholine Receptor beta2
135079164	XP_063829821.1	NP_001097312.1	5740580.0	CG34443	uncharacterized protein
135079165	XP_063829822.1				
135079555	XP_063830277.1	NP_001097597.2	5740867.0	CG34428	uncharacterized protein
135079166	XP_063829823.1	NP_001097901.2	50072.0	CG42812	uncharacterized protein
135079167	XP_063829824.1				
135079168	XP_063829825.1	NP_651259.1	42914.0	CG17780	uncharacterized protein
135079169	XP_063829826.1				
135079170	XP_063829827.1				
135079172	XP_063829830.1	NP_651257.1	42912.0	CG17782	uncharacterized protein
135079173	XP_063829831.1				
135079190	XP_063829847.1	NP_651256.2	42911.0	CG13614	uncharacterized protein
135079556	XP_063830278.1	NP_651260.3	42915.0	CG5768	uncharacterized protein
135079447	XP_063830181.1	NP_524481.2	42918.0	nAChRalpha1	nicotinic Acetylcholine Receptor alpha1
135079557	XP_063830279.1				
135079418	XP_063830147.1				
135079419	XP_063830148.1				
135079445	XP_063830178.1	NP_524482.1	42919.0	nAChRalpha2	nicotinic Acetylcholine Receptor alpha2
135079558	XP_063830280.1				
135079439	XP_063830170.1				
135079441	XP_063830175.1				
135079174	XP_063829833.1				
135079559	XP_063830281.1				
135079560	XP_063830282.1				
135079561	XP_063830283.1	NP_788357.1	36732.0	Impbeta11	Importin beta11
135079175	XP_063829834.1				
135079420	XP_063830149.1	NP_476869.1	33968.0	Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C
135079563	XP_063830284.1				
135079422	XP_063830150.1				
135079450	XP_063830184.1				
135079442	XP_063830176.1				
135079176	XP_063829835.1				
135079564	XP_063830285.1				
135079177	XP_063829836.1	NP_609037.1	33908.0	epsilonCOP	Coat Protein (coatomer) epsilon
135079440	XP_063830174.1	NP_651934.2	43810.0	CG11360	uncharacterized protein
135079565	XP_063830286.1				
135079566	XP_063830288.1	NP_649859.1	41080.0	Iru	Iruka
135079427	XP_063830156.1	NP_572972.1	32408.0	CG14411	uncharacterized protein
135079426	XP_063830153.1	NP_649908.1	41152.0	CG9393	uncharacterized protein
135079178	XP_063829837.1				
135079567	XP_063830289.1	NP_572613.2	31953.0	CG34408	uncharacterized protein
135079568	XP_063830290.1				
135079179	XP_063829838.1				
135079569	XP_063830291.1	NP_611585.1	37450.0	TAF1C-like	TATA box-binding protein-associated factor RNA polymerase I subunit C-like
135079430	XP_063830157.1	NP_570027.1	31266.0	ttm50	tiny tim 50
135079570	XP_063830292.1	NP_524319.2	41366.0	Blm	Bloom syndrome helicase
135079449	XP_063830183.1				
135079448	XP_063830182.1	NP_524311.1	41313.0	Sodh2	Sorbitol dehydrogenase 2
135079431	XP_063830158.1	NP_651365.1	43046.0	RIOK2	RIO kinase 2
135079432	XP_063830159.1				
135079571	XP_063830293.1				
135079181	XP_063829839.1				
135079572	XP_063830294.1	NP_648572.1	39410.0	Ncc69	sodium chloride cotransporter 69
135079451	XP_063830185.1	NP_001036706.2	41401.0	CG42327	uncharacterized protein
135079182	XP_063829840.1				
135079183	XP_063829841.1	NP_650164.1	41481.0	Rsbp15	Radial spoke binding protein 15
135079433	XP_063830161.1	NP_650440.2	41847.0	Zip88E	Zinc/iron regulated transporter-related protein 88E
135079434	XP_063830162.1				
135079184	XP_063829843.1	NP_650073.1	41372.0	RpL24-like	Ribosomal protein L24-like
135079484	XP_063830211.1	NP_650070.1	41369.0	ninaG	ninaG
135079485	XP_063830212.1	NP_001027147.1	3771851.0	CG33927	uncharacterized protein
135079486	XP_063830213.1				
135079185	XP_063829844.1				
135079435	XP_063830164.1	NP_651892.1	43745.0	CG2150	uncharacterized protein
135079437	XP_063830166.1	NP_996440.2	32497.0	Chsy	Chondroitin sulfate synthase
135079436	XP_063830165.1	NP_649759.1	40948.0	CG10435	uncharacterized protein
135079438	XP_063830168.1	NP_572766.1	32152.0	wisp	wispy
135079444	XP_063830177.1				
135079573	XP_063830296.1	NP_648839.1	39764.0	Zn72D	Zinc-finger protein at 72D
135079186	XP_063829845.1	NP_729654.1	39235.0	CG32069	uncharacterized protein
135079458	XP_063830188.1	NP_610357.1	35787.0	Pbp49	PSEA-binding protein 49kD
135079465	XP_063830195.1				
135079463	XP_063830194.1				
135079574	XP_063830297.1				
135079487	XP_063830215.1	NP_001096850.2	2768865.0	dpr7	defective proboscis extension response 7
135079188	XP_063829846.1				
135079459	XP_063830191.1				
135079461	XP_063830192.1				
135079462	XP_063830193.1				
135079575	XP_063830298.1				
135079576	XP_063830299.1	NP_525123.2	38173.0	hfp	half pint
135079489	XP_063830216.1				
135079784	XP_063830454.1	NP_723338.1	318841.0	Bsg	Basigin
135080168	XP_063830920.1	NP_648968.2	39930.0	CG6479	uncharacterized protein
135079790	XP_063830461.1	NP_524282.4	41013.0	pch2	pachytene checkpoint 2
135079791	XP_063830462.1	NP_572452.1	31744.0	Gbeta5	G protein beta subunit 5
135080169	XP_063830921.1	NP_611413.2	37221.0	CG11961	uncharacterized protein
135080170	XP_063830922.1	NP_648992.1	39957.0	Edc3	Enhancer of decapping 3
135080171	XP_063830923.1	NP_477432.3	36405.0	Taz	Tafazzin
135079607	XP_063830304.1	NP_725973.1	246671.0	Obp57d	Odorant-binding protein 57d
135079789	XP_063830460.1				
135080172	XP_063830924.1				
135080174	XP_063830925.1				
135079609	XP_063830305.1				
135079779	XP_063830449.1				
135080175	XP_063830926.1				
135079610	XP_063830307.1				
135079611	XP_063830308.1				
135079781	XP_063830451.1				
135079780	XP_063830450.1				
135079786	XP_063830456.1	NP_524990.1	53557.0	esn	espinas
135079787	XP_063830457.1				
135079795	XP_063830469.1	NP_648780.1	39688.0	mrn	marionette
135079794	XP_063830466.1	NP_650738.1	42240.0	Cpsf73	Cleavage and polyadenylation specificity factor 73
135079788	XP_063830459.1				
135080176	XP_063830927.1	NP_648550.1	39382.0	CG5645	uncharacterized protein
135079783	XP_063830452.1	NP_524004.2	39108.0	RpS9	Ribosomal protein S9
135080177	XP_063830929.1				
135079613	XP_063830309.1				
135079614	XP_063830310.1				
135079793	XP_063830465.1	NP_730035.1	251690.0	CG32147	uncharacterized protein
135079798	XP_063830470.1	NP_649284.1	40332.0	CG10565	uncharacterized protein
135079799	XP_063830471.1	NP_609879.1	35102.0	CG10283	uncharacterized protein
135079615	XP_063830312.1				
135079800	XP_063830472.1				
135080178	XP_063830930.1	NP_611965.2	37961.0	Eps-15	Epidermal growth factor receptor pathway substrate clone 15
135079802	XP_063830479.1				
135080179	XP_063830931.1	NP_650495.1	41914.0	CG4576	uncharacterized protein
135080180	XP_063830932.1				
135079616	XP_063830314.1				
135079803	XP_063830481.1				
135079617	XP_063830315.1				
135080181	XP_063830933.1				
135080182	XP_063830934.1				
135079808	XP_063830487.1	NP_648993.1	39958.0	Nedd4	Nedd4
135080183	XP_063830935.1	NP_611874.1	37839.0	Not11	CCR4-NOT transcription complex subunit 11
135079813	XP_063830497.1	NP_650520.1	41951.0	CG5013	uncharacterized protein
135079812	XP_063830496.1	NP_001027083.1	3772560.0	SLIRP1	SRA stem-loop interacting RNA binding protein 1
135079804	XP_063830482.1	NP_523528.1	34313.0	yip2	yippee interacting protein 2
135079805	XP_063830484.1				
135079806	XP_063830485.1				
135079619	XP_063830316.1				
135079620	XP_063830317.1	NP_726400.1	246497.0	HSPC300	Haematopoietic stem/progenitor cell protein 300
135080185	XP_063830936.1	NP_611792.1	37708.0	CG3520	uncharacterized protein
135080186	XP_063830937.1				
135080187	XP_063830939.1	NP_725632.1	36903.0	CG6665	uncharacterized protein
135079810	XP_063830490.1	NP_611537.2	37384.0	RIC-3	RIC3 acetylcholine receptor chaperone
135079811	XP_063830495.1	NP_611538.1	37385.0	ND-B14.7	NADH dehydrogenase (ubiquinone) B14.7 subunit
135079807	XP_063830486.1	NP_611539.1	37387.0	cpa	capping protein alpha
135079776	XP_063830447.1				
135080147	XP_063830902.1				
135080188	XP_063830940.1				
135080189	XP_063830941.1				
135080190	XP_063830942.1				
135080191	XP_063830944.1				
135079827	XP_063830512.1	NP_727781.1	32387.0	dpr8	defective proboscis extension response 8
135080193	XP_063830945.1	NP_610956.1	36597.0	Arc2	Activity-regulated cytoskeleton associated protein 2
135079623	XP_063830318.1				
135079825	XP_063830510.1				
135079815	XP_063830498.1	NP_524664.1	43958.0	spag	spaghetti
135079816	XP_063830499.1				
135079818	XP_063830500.1				
135079821	XP_063830504.1				
135079819	XP_063830501.1	NP_648076.3	38774.0	Cpr65Eb	Cuticular protein 65Eb
135079626	XP_063830320.1				
135079826	XP_063830511.1				
135080148	XP_063830903.1				
135080149	XP_063830904.1				
135079627	XP_063830321.1				
135080151	XP_063830905.1	NP_001097423.1	37619.0	stl	stall
135079629	XP_063830323.1				
135079820	XP_063830503.1	NP_611533.2	37377.0	dgt3	dim gamma-tubulin 3
135079823	XP_063830508.1				
135080152	XP_063830906.1				
135079822	XP_063830505.1				
135079839	XP_063830526.1				
135080194	XP_063830946.1				
135080195	XP_063830948.1				
135079631	XP_063830325.1				
135079829	XP_063830516.1				
135079828	XP_063830514.1				
135079830	XP_063830517.1	NP_524839.3	45784.0	ThrRS	Threonyl-tRNA synthetase
135079838	XP_063830524.1				
135079834	XP_063830519.1				
135079833	XP_063830518.1				
135079836	XP_063830520.1				
135079837	XP_063830521.1	NP_609378.1	34388.0	CG4972	uncharacterized protein
135079842	XP_063830527.1	NP_652011.3	45248.0	Nckx30C	Nckx30C
135079843	XP_063830528.1				
135079633	XP_063830326.1				
135079634	XP_063830328.1	NP_573262.2	32782.0	CG6867	uncharacterized protein
135080196	XP_063830949.1				
135079635	XP_063830330.1				
135080197	XP_063830950.1				
135080198	XP_063830951.1	NP_610192.1	35527.0	Pngl	PNGase-like
135079638	XP_063830332.1	NP_610248.4	35604.0	CG3358	uncharacterized protein
135079846	XP_063830529.1	NP_788023.1	34514.0	Tmem214	Transmembrane protein 214
135079852	XP_063830536.1	NP_611508.1	37344.0	Fem-1	Fem-1
135079639	XP_063830333.1				
135079847	XP_063830530.1	NP_001097432.1	37699.0	Mthfs	Methenyltetrahydrofolate synthetase
135079848	XP_063830531.1	NP_001036548.1	36694.0	Trpm	Transient receptor potential cation channel, subfamily M
135079640	XP_063830334.1				
135079849	XP_063830533.1				
135079851	XP_063830535.1				
135079850	XP_063830534.1				
135079853	XP_063830537.1	NP_523495.2	33941.0	Tsp	Thrombospondin
135080200	XP_063830952.1	NP_611080.1	36769.0	casp	caspar
135080153	XP_063830907.1				
135079858	XP_063830540.1				
135079856	XP_063830539.1	NP_572682.1	32042.0	CG2061	uncharacterized protein
135079643	XP_063830335.1	NP_647933.1	38582.0	CG13708	uncharacterized protein
135079861	XP_063830544.1	NP_722835.1	3772677.0	Snapin	SNAP associated protein
135079860	XP_063830542.1	NP_001027221.1	3771966.0	HemK2	HemK methyltransferase 2
135079859	XP_063830541.1				
135079645	XP_063830337.1	NP_476947.1	34250.0	Cks30A	Cyclin-dependent kinase subunit 30A
135080201	XP_063830953.1				
135079863	XP_063830546.1	NP_477428.1	34251.0	Eaat1	Excitatory amino acid transporter 1
135080202	XP_063830954.1				
135079862	XP_063830545.1				
135079864	XP_063830547.1	NP_477387.1	33942.0	AkhR	Adipokinetic hormone receptor
135080203	XP_063830956.1				
135079646	XP_063830339.1				
135079652	XP_063830342.1	NP_477303.1	35686.0	Orc1	Origin recognition complex subunit 1
135079651	XP_063830341.1	NP_609066.1	33943.0	Aatf	Apoptosis antagonizing transcription factor
135080204	XP_063830957.1				
135079654	XP_063830344.1	NP_650198.1	41532.0	Aos1	Activator of SUMO 1
135079865	XP_063830548.1	NP_610326.1	35733.0	puml	pummelig
135079866	XP_063830556.1	NP_477185.1	35679.0	dpa	disc proliferation abnormal
135079868	XP_063830557.1	NP_524772.2	44653.0	wech	wech
135079655	XP_063830345.1				
135080205	XP_063830958.1	NP_648633.2	39492.0	snky	sneaky
135080206	XP_063830959.1				
135080207	XP_063830960.1	NP_609377.1	34387.0	Usp14	Ubiquitin specific protease 14
135079869	XP_063830558.1	NP_649574.1	40701.0	Rab23	Rab23
135079656	XP_063830346.1				
135079870	XP_063830560.1	NP_648773.1	39679.0	CG7945	uncharacterized protein
135080208	XP_063830961.1	NP_648453.1	39267.0	CG7600	uncharacterized protein
135079657	XP_063830348.1				
135080210	XP_063830962.1	NP_610801.1	36386.0	muskelin	muskelin
135080211	XP_063830963.1	NP_611285.2	37057.0	Muc55B	Mucin 55B
135080212	XP_063830964.1	NP_724056.1	35051.0	BicD	Bicaudal D
135080213	XP_063830966.1	NP_649385.1	40456.0	Rich	RIC1 homolog
135080154	XP_063830908.1				
135079875	XP_063830567.1				
135079874	XP_063830566.1				
135079871	XP_063830561.1				
135079872	XP_063830563.1	NP_610341.2	35758.0	CG8726	uncharacterized protein
135079873	XP_063830564.1				
135079876	XP_063830569.1				
135079877	XP_063830570.1	NP_476849.1	35524.0	Src42A	Src oncogene at 42A
135079878	XP_063830573.1				
135079880	XP_063830575.1				
135080214	XP_063830967.1				
135079881	XP_063830576.1	NP_610637.1	36168.0	CG13229	uncharacterized protein
135079882	XP_063830579.1	NP_511119.2	32080.0	hop	hopscotch
135079883	XP_063830580.1	NP_723899.1	26067080.0	vas	vasa
135079884	XP_063830581.1				
135079885	XP_063830583.1				
135079886	XP_063830584.1	NP_724760.2	246553.0	CG30345	uncharacterized protein
135079887	XP_063830585.1	NP_610233.1	35584.0	Eb1	Eb1
135079896	XP_063830595.1				
135079898	XP_063830599.1	NP_524270.2	40932.0	mRpS9	mitochondrial ribosomal protein S9
135079897	XP_063830597.1	NP_608349.1	32984.0	CG14230	uncharacterized protein
135080215	XP_063830968.1	NP_611049.1	36725.0	CG8195	uncharacterized protein
135079901	XP_063830601.1	NP_660194.1	246507.0	AIMP3	aaRS-interacting multifunctional protein 3
135080155	XP_063830909.1				
135079661	XP_063830349.1				
135079662	XP_063830350.1				
135079664	XP_063830351.1				
135079667	XP_063830352.1				
135079668	XP_063830354.1				
135079670	XP_063830355.1				
135079671	XP_063830356.1				
135079891	XP_063830590.1				
135079907	XP_063830609.1				
135079910	XP_063830611.1				
135079911	XP_063830613.1				
135079908	XP_063830610.1				
135080216	XP_063830969.1				
135079912	XP_063830614.1				
135079672	XP_063830357.1				
135079673	XP_063830359.1				
135080217	XP_063830970.1				
135079894	XP_063830593.1	NP_996047.1	2768970.0	CG33490	uncharacterized protein
135079893	XP_063830592.1	NP_996048.1	2768971.0	CG33489	uncharacterized protein
135079674	XP_063830360.1				
135079904	XP_063830605.1	NP_524966.1	49821.0	EbpIII	Ejaculatory bulb protein III
135080220	XP_063830971.1				
135079906	XP_063830608.1				
135079902	XP_063830602.1				
135079905	XP_063830607.1				
135079903	XP_063830604.1	NP_524121.2	39906.0	a10	antennal protein 10
135079900	XP_063830600.1				
135079895	XP_063830594.1	NP_651217.2	42861.0	GatB	Glutamyl-tRNA amidotransferase, subunit B
135079677	XP_063830361.1				
135080221	XP_063830972.1				
135079917	XP_063830616.1	NP_647763.1	38364.0	CG1271	uncharacterized protein
135080222	XP_063830973.1	NP_649001.1	39970.0	Crtc	CREB-regulated transcription coactivator
135080223	XP_063830975.1				
135080224	XP_063830976.1				
