ostrinia_nubilalis	drosophila_melanogaster	NCBI GeneID	Symbol	Description
XP_063829193.1	NP_651896.1	43750	Mccc1	Methylcrotonoyl-CoA carboxylase 1
XP_063829202.1	NP_001097075.2	5740176	Drgx	Dorsal root ganglia homeobox
XP_063829203.1	NP_787969.1	44637	cutlet	cutlet
XP_063829204.1	NP_608657.1	33401	papi	papi
XP_063829207.1	NP_611155.3	36876	unc-104	uncoordinated-104
XP_063829209.1	NP_648684.1	39554	endos	endosulfine
XP_063829211.1	NP_650115.1	41425	prd1	pruning defect 1
XP_063829212.1	NP_610184.2	35512	Gp210	Glycoprotein 210 kDa
XP_063829213.1	NP_524612.2	43749	faf	fat facets
XP_063829217.1	NP_610731.2	36300	OSCP1	Organic solute carrier partner 1
XP_063829220.1	NP_524151.2	40055	Uggt	UDP-glucose-glycoprotein glucosyltransferase
XP_063829226.1	NP_609796.1	34985	CG5953	uncharacterized protein
XP_063829228.1	NP_648470.2	39284	chrb	charybde
XP_063829229.1	NP_524161.2	40134	Taf6	TBP-associated factor 6
XP_063829230.1	NP_608806.3	33601	CG43707	uncharacterized protein
XP_063829232.1	NP_723730.2	34642	CG31760	uncharacterized protein
XP_063829233.1	NP_610280.1	35669	CG11125	uncharacterized protein
XP_063829234.1	NP_652664.2	59163	CG18787	uncharacterized protein
XP_063829235.1	NP_608501.1	33180	CG3436	uncharacterized protein
XP_063829238.1	NP_651044.1	42637	CG12499	uncharacterized protein
XP_063829240.1	NP_610763.1	36339	Den1	Deneddylase 1
XP_063829242.1	NP_001368961.1	33600	CG10019	uncharacterized protein
XP_063829243.1	NP_650002.1	41271	CG6345	uncharacterized protein
XP_063829249.1	NP_524296.2	41181	hyd	hyperplastic discs
XP_063829251.1	NP_650684.1	42173	Arp5	Actin-related protein 5
XP_063829252.1	NP_648171.1	38893	CG7565	uncharacterized protein
XP_063829253.1	NP_523443.1	33196	smo	smoothened
XP_063829254.1	NP_523957.1	38811	lark	lark
XP_063829261.1	NP_608871.1	33693	CG3008	uncharacterized protein
XP_063829262.1	NP_649887.1	41120	RpL34b	Ribosomal protein L34b
XP_063829263.1	NP_573056.1	32507	Hap40	Huntingtin-associated protein 40 kDa
XP_063829268.1	NP_572417.1	31698	p115	p115
XP_063829269.1	NP_787989.1	33753	tkv	thickveins
XP_063829271.1	NP_608535.1	33236	Ipk2	Inositol phosphate kinase 2
XP_063829273.1	NP_001246788.1	12797916	CG43295	uncharacterized protein
XP_063829278.1	NP_649135.2	40140	l(3)76BDm	lethal (3) 76BDm
XP_063829279.1	NP_610525.4	36016	Sting	sting
XP_063829287.1	NP_523391.3	32762	Taf9	TBP-associated factor 9
XP_063829288.1	NP_612053.1	38085	Vti1a	Vesicle transport through interaction with t-SNAREs 1a
XP_063829289.1	NP_723541.1	44801	bsk	basket
XP_063829290.1	NP_511115.2	32045	Hsp60A	Heat shock protein 60A
XP_063829291.1	NP_611899.1	37879	CG30419	uncharacterized protein
XP_063829296.1	NP_524718.2	44205	spen	split ends
XP_063829297.1	NP_610044.2	35325	brun	brunelleschi
XP_063829299.1	NP_001259745.1	33051	RunxB	Runt related B
XP_063829301.1	NP_608400.2	4379817	RunxA	Runt related A
XP_063829302.1	NP_651400.1	43083	CG5112	uncharacterized protein
XP_063829306.1	NP_648624.1	39479	Adk2	Adenosine kinase 2
XP_063829308.1	NP_477223.2	34396	SamDC	S-adenosylmethionine decarboxylase
XP_063829311.1	NP_608880.2	33705	jet	jetlag
XP_063829312.1	NP_524675.1	44010	Pgm1	Phosphoglucose mutase 1
XP_063829313.1	NP_572220.1	31458	Usp16-45	Ubiquitin specific protease 16/45
XP_063829315.1	NP_608873.1	33695	CG3036	uncharacterized protein
XP_063829317.1	NP_611167.2	36896	CG8910	uncharacterized protein
XP_063829318.1	NP_572289.2	31537	CG5937	uncharacterized protein
XP_063829319.1	NP_648733.2	39629	Reck	Reversion-inducing-cysteine-rich protein with kazal motifs
XP_063829320.1	NP_610879.1	36499	mip120	Myb-interacting protein 120
XP_063829321.1	NP_609464.1	34502	SmydA-3	SET and MYND domain containing, arthropod-specific, member 3
XP_063829322.1	NP_608578.1	33299	CG5080	uncharacterized protein
XP_063829325.1	NP_523728.1	36456	AQP	aquaporin
XP_063829327.1	NP_649496.3	40596	ctrip	circadian trip
XP_063829332.1	NP_523384.3	32718	f	forked
XP_063829336.1	NP_524786.1	44830	kto	kohtalo
XP_063829344.1	NP_611973.2	37977	CG16896	uncharacterized protein
XP_063829345.1	NP_570025.1	31261	CG2701	uncharacterized protein
XP_063829347.1	NP_610097.2	35390	Mcm10	Minichromosome maintenance 10
XP_063829352.1	NP_572557.1	31881	Aladin	aladin
XP_063829356.1	NP_620114.3	45830	bur	burgundy
XP_063829357.1	NP_477473.1	35701	Rpt1	Regulatory particle triple-A ATPase 1
XP_063829358.1	NP_650619.1	42091	sds22	sds22
XP_063829361.1	NP_524830.2	45577	Faa	Fumarylacetoacetase
XP_063829363.1	NP_609898.1	35125	CG10341	uncharacterized protein
XP_063829366.1	NP_477405.1	35671	Inos	myo-inositol-1-phosphate synthase
XP_063829368.1	NP_608736.2	33511	CG17264	uncharacterized protein
XP_063829369.1	NP_723540.1	64880	chico	chico
XP_063829370.1	NP_650842.2	42368	CG4733	uncharacterized protein
XP_063829373.1	NP_572675.1	32034	SmydA-4	SET and MYND domain containing, arthropod-specific, member 4
XP_063829378.1	NP_611878.1	37846	eEF5	eukaryotic translation elongation factor 5
XP_063829383.1	NP_477295.1	33569	Thor	thor
XP_063829385.1	NP_608573.1	33293	l(2)10685	lethal (2) 10685
XP_063829386.1	NP_608572.1	33292	MFS3	Major Facilitator Superfamily Transporter 3
XP_063829388.1	NP_572488.1	31793	IntS4	Integrator 4
XP_063829392.1	NP_476805.1	45959	mts	microtubule star
XP_063829393.1	NP_573068.3	32520	Mvd	Mevalonate diphosphate decarboxylase
XP_063829394.1	NP_477269.1	34070	Rack1	Receptor of activated protein kinase C 1
XP_063829397.1	NP_611163.2	36891	CG6426	uncharacterized protein
XP_063829403.1	NP_542445.1	32545	Gapdh2	Glyceraldehyde 3 phosphate dehydrogenase 2
XP_063829404.1	NP_511068.2	31659	fz4	frizzled 4
XP_063829406.1	NP_524415.1	42433	TFAM	mitochondrial transcription factor A
XP_063829407.1	NP_611217.1	36968	veil	veil
XP_063829408.1	NP_476883.1	33602	bowl	brother of odd with entrails limited
XP_063829409.1	NP_609767.2	34930	Ku80	Ku80
XP_063829411.1	NP_609918.1	35150	CG10428	uncharacterized protein
XP_063829412.1	NP_608786.2	33573	CG17593	uncharacterized protein
XP_063829414.1	NP_788345.1	36507	Nadk1b	NAD kinase 1b
XP_063829415.1	NP_572529.2	31844	CG7065	uncharacterized protein
XP_063829422.1	NP_524354.1	41836	Caf1-55	Chromatin assembly factor 1, p55 subunit
XP_063829426.1	NP_608615.1	33350	Rim2	Replication in mitochondria 2
XP_063829429.1	NP_610022.3	35295	CG10747	uncharacterized protein
XP_063829434.1	NP_523535.2	34385	Cdk5alpha	Cdk5 activator-like protein
XP_063829435.1	NP_608654.1	33396	CG15385	uncharacterized protein
XP_063829436.1	NP_610946.1	36585	beta4GalNAcTA	beta1,4-N-acetylgalactosaminyltransferase A
XP_063829437.1	NP_611437.2	37258	CG15125	uncharacterized protein
XP_063829442.1	NP_730776.1	317987	Vps11	Vacuolar protein sorting 11
XP_063829443.1	NP_611881.1	37854	CG10339	uncharacterized protein
XP_063829444.1	NP_788342.1	326264	AGBE	1,4-Alpha-Glucan Branching Enzyme
XP_063829445.1	NP_524892.2	47594	aPKC	atypical protein kinase C
XP_063829446.1	NP_609477.1	34519	SCAR	SCAR
XP_063829447.1	NP_536788.2	49638	drm	drumstick
XP_063829449.1	NP_610069.2	35355	bero	belly roll
XP_063829450.1	NP_648698.1	39574	CG7924	uncharacterized protein
XP_063829451.1	NP_609557.1	34646	crok	crooked
XP_063829452.1	NP_609556.2	34645	CG6583	uncharacterized protein
XP_063829453.1	NP_728447.2	2768879	CG32500	uncharacterized protein
XP_063829454.1	NP_001036627.2	3355150	AGO3	Argonaute 3
XP_063829455.1	NP_609160.2	34077	spz3	spatzle 3
XP_063829458.1	NP_523868.1	38015	Lsp1gamma	Larval serum protein 1 gamma
XP_063829462.1	NP_608915.2	33752	TpnC25D	Troponin C at 25D
XP_063829466.1	NP_476624.1	33274	Lsp1beta	Larval serum protein 1 beta
XP_063829468.1	NP_477487.1	44817	for	foraging
XP_063829470.1	NP_652556.2	34032	RapGAP1	Rap GTPase activating protein 1
XP_063829481.1	NP_609885.2	35107	Pde11	Phosphodiesterase 11
XP_063829482.1	NP_649067.2	40056	CG3961	uncharacterized protein
XP_063829484.1	NP_476959.1	34924	CycE	Cyclin E
XP_063829490.1	NP_648815.1	39734	GXIVsPLA2	GXIVsPLA2
XP_063829492.1	NP_723568.1	318909	CG31715	uncharacterized protein
XP_063829493.1	NP_573316.1	32853	Ing3	Inhibitor of growth family, member 3
XP_063829494.1	NP_648125.3	38835	ppk26	pickpocket 26
XP_063829495.1	NP_609925.1	35158	Swip-1	Swiprosin-1
XP_063829497.1	NP_611462.1	37287	CG9864	uncharacterized protein
XP_063829498.1	NP_610914.2	36540	CG16935	uncharacterized protein
XP_063829503.1	NP_477388.1	35129	Faf2	Fas-associated factor 2
XP_063829505.1	NP_477176.1	34996	Cyt-c-p	Cytochrome c proximal
XP_063829508.1	NP_611419.1	37227	CG11257	uncharacterized protein
XP_063829515.1	NP_572912.1	32327	CG11158	uncharacterized protein
XP_063829516.1	NP_610764.1	36340	CG8839	uncharacterized protein
XP_063829523.1	NP_609333.1	34326	CG5846	uncharacterized protein
XP_063829524.1	NP_572332.1	31597	CG3226	uncharacterized protein
XP_063829526.1	NP_611460.1	37285	Hacl	2-hydroxyacyl-CoA lyase
XP_063829528.1	NP_608905.1	33738	Rpn11	Regulatory particle non-ATPase 11
XP_063829529.1	NP_723994.2	318956	Tsen2	tRNA splicing endonuclease subunit 2
XP_063829531.1	NP_609803.1	34998	CG17996	uncharacterized protein
XP_063829532.1	NP_523585.2	34997	VhaSFD	Vacuolar H[+]-ATPase SFD subunit
XP_063829533.1	NP_608514.1	33198	CG3625	uncharacterized protein
XP_063829536.1	NP_611186.2	36924	CG30460	uncharacterized protein
XP_063829539.1	NP_723484.1	34293	Taf11	TBP-associated factor 11
XP_063829542.1	NP_724130.4	35135	ham	hamlet
XP_063829547.1	NP_608782.1	33567	Pif1	Pif1 DNA helicase
XP_063829548.1	NP_609806.1	35002	ChLD3	Chitin and LDLR binding deacetylase 3
XP_063829549.1	NP_609807.1	35003	LSm7	Like Sm 7
XP_063829550.1	NP_609190.2	34115	CG8460	uncharacterized protein
XP_063829551.1	NP_608859.1	33679	CG15629	uncharacterized protein
XP_063829552.1	NP_610081.3	35369	CG9265	uncharacterized protein
XP_063829553.1	NP_523608.2	35368	Itgbn	Integrin betanu subunit
XP_063829554.1	NP_609118.1	34021	muc	midline uncoordinated
XP_063829557.1	NP_608906.2	326151	Pgant5	Polypeptide N-Acetylgalactosaminyltransferase 5
XP_063829561.1	NP_524080.1	39659	Tak1	TGF-beta activated kinase 1
XP_063829567.1	NP_730982.1	40698	Wdr33	WD repeat domain 33
XP_063829568.1	NP_651291.1	42957	CG5808	uncharacterized protein
XP_063829586.1	NP_724479.1	246618	Opbp	Optix-binding protein
XP_063829587.1	NP_523480.2	33739	qtc	quick-to-court
XP_063829593.1	NP_477054.1	37235	RpL11	Ribosomal protein L11
XP_063829594.1	NP_611187.1	36926	CG6984	uncharacterized protein
XP_063829596.1	NP_524631.1	43823	Arf4	ADP ribosylation factor 4
XP_063829597.1	NP_652364.3	50205	CG16926	uncharacterized protein
XP_063829598.1	NP_651267.1	42926	CG13623	uncharacterized protein
XP_063829599.1	NP_476946.1	35200	pigeon	pigeon
XP_063829600.1	NP_524781.1	44783	RpL37A	Ribosomal protein L37A
XP_063829601.1	NP_610056.1	35339	Rhau	RHAU helicase
XP_063829602.1	NP_477210.1	37228	SdhA	Succinate dehydrogenase, subunit A (flavoprotein)
XP_063829603.1	NP_610158.3	35478	gus	gustavus
XP_063829604.1	NP_573020.2	32464	Prp5	pre-mRNA processing factor 5
XP_063829607.1	NP_572263.2	31507	CG42699	uncharacterized protein
XP_063829612.1	NP_001097072.1	33553	CG15412	uncharacterized protein
XP_063829614.1	NP_523424.2	33059	run	runt
XP_063829617.1	NP_572262.1	31506	CG3108	uncharacterized protein
XP_063829618.1	NP_610623.1	36150	nclb	no child left behind
XP_063829620.1	NP_652042.1	46260	ND-SGDH	NADH dehydrogenase (ubiquinone) SGDH subunit
XP_063829621.1	NP_649073.1	40064	Prp6	pre-mRNA processing factor 6
XP_063829622.1	NP_511083.1	31762	ND-75	NADH dehydrogenase (ubiquinone) 75 kDa subunit
XP_063829623.1	NP_523732.2	36527	fl(2)d	female lethal d
XP_063829626.1	NP_524808.3	45249	eEF1beta	eukaryotic translation elongation factor 1 beta
XP_063829629.1	NP_609195.1	34122	CG8360	uncharacterized protein
XP_063829630.1	NP_610033.1	35311	Arpc2	Actin-related protein 2/3 complex, subunit 2
XP_063829631.1	NP_610035.4	35314	CG31688	uncharacterized protein
XP_063829632.1	NP_612037.1	38068	BORCS6	BLOC-1 related complex subunit 6
XP_063829633.1	NP_649084.1	40075	SmydA-2	SET and MYND domain containing, arthropod-specific, member 2
XP_063829634.1	NP_724812.2	246550	CG30340	uncharacterized protein
XP_063829640.1	NP_610063.4	318878	CG31674	uncharacterized protein
XP_063829642.1	NP_610062.2	35347	CG9331	uncharacterized protein
XP_063829643.1	NP_611408.2	37216	Tab2	TAK1-associated binding protein 2
XP_063829646.1	NP_524194.3	40333	Ac78C	Adenylyl cyclase 78C
XP_063829648.1	NP_610617.1	36143	CG12343	uncharacterized protein
XP_063829649.1	NP_609843.1	35055	Lamtor3	Late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
XP_063829650.1	NP_572928.1	32349	Clic	Chloride intracellular channel
XP_063829652.1	NP_477221.1	33470	colt	congested-like trachea
XP_063829653.1	NP_611028.1	36696	CG8152	uncharacterized protein
XP_063829655.1	NP_001015389.1	3355102	Scp1	Sarcoplasmic calcium-binding protein 1
XP_063829657.1	NP_650075.1	41374	Exd2	Exonuclease 3'-5' domain-containing 2
XP_063829658.1	NP_649579.2	40708	CG1236	uncharacterized protein
XP_063829659.1	NP_611065.1	36749	bug	bunker gear
XP_063829662.1	NP_727265.1	31781	Sptr	Sepiapterin reductase
XP_063829664.1	NP_524715.2	44183	ScpX	Sterol carrier protein X-related thiolase
XP_063829666.1	NP_001368955.1	37302	CG13868	uncharacterized protein
XP_063829669.1	NP_651637.1	43402	WASp	WASp
XP_063829672.1	NP_609208.2	34141	mtsh	mitoshell
XP_063829674.1	NP_609373.1	44021	nmd	no mitochondrial derivative
XP_063829676.1	NP_647717.1	38303	CG9004	uncharacterized protein
XP_063829677.1	NP_477422.2	43991	Pten	Phosphatase and tensin homolog
XP_063829680.1	NP_524891.1	47396	mTor	mechanistic Target of rapamycin
XP_063829685.1	NP_573081.1	32539	ArgRS	Arginyl-tRNA synthetase
XP_063829686.1	NP_477349.1	34038	Slob	Slowpoke binding protein
XP_063829692.1	NP_609164.3	5740414	Snoo	Sno oncogene
XP_063829693.1	NP_611241.2	37004	CCHa1-R	CCHamide-1 receptor
XP_063829694.1	NP_476813.1	34500	porin	porin
XP_063829696.1	NP_523581.1	34961	heix	heixuedian
XP_063829702.1	NP_651703.1	43483	CG1907	uncharacterized protein
XP_063829703.1	NP_572382.1	31656	CG4615	uncharacterized protein
XP_063829704.1	NP_649689.1	40842	CG1965	uncharacterized protein
XP_063829706.1	NP_523753.1	36750	Mlf	Myelodysplasia/myeloid leukemia factor
XP_063829709.1	NP_609443.1	34477	CG6443	uncharacterized protein
XP_063829716.1	NP_523767.2	36927	GstS1	Glutathione S transferase S1
XP_063829718.1	NP_649653.1	40791	gzl	godzilla E3 ubiquitin protein ligase
XP_063829719.1	NP_609210.1	34143	CG7781	uncharacterized protein
XP_063829722.1	NP_609597.1	34699	Ube4B	Ubiquitination factor E4B
XP_063829723.1	NP_609357.2	34358	Npc1a	Niemann-Pick type C-1a
XP_063829724.1	NP_608565.1	33285	PolrMT	RNA polymerase mitochondrial
XP_063829725.1	NP_477444.1	35759	CSN4	COP9 signalosome subunit 4
XP_063829727.1	NP_524246.1	40790	TfIIFalpha	Transcription factor IIFalpha
XP_063829734.1	NP_609505.1	34573	Dlg5	Discs large 5
XP_063829735.1	NP_651508.1	43228	ball	ballchen
XP_063829738.1	NP_476721.1	33599	Shaw	Shaker cognate w
XP_063829739.1	NP_731190.3	5740362	CG34384	uncharacterized protein
XP_063829741.1	NP_609504.2	34572	spz4	spatzle 4
XP_063829748.1	NP_524909.1	48309	mus101	mutagen-sensitive 101
XP_063829749.1	NP_610496.1	35981	Alp6	Alkaline phosphatase 6
XP_063829750.1	NP_524013.1	39156	I-2	Inhibitor-2
XP_063829751.1	NP_725413.1	246638	ave	aveugle
XP_063829756.1	NP_651391.1	43072	tobi	target of brain insulin
XP_063829757.1	NP_648805.2	39722	DCP2	Decapping protein 2
XP_063829763.1	NP_476629.1	31009	RpL36	Ribosomal protein L36
XP_063829765.1	NP_649368.2	40434	P5CDh1	delta-1-Pyrroline-5-carboxylate dehydrogenase 1
XP_063829768.1	NP_733205.3	318578	CG31068	uncharacterized protein
XP_063829769.1	NP_649858.1	41079	Prosbeta3	Proteasome beta3 subunit
XP_063829772.1	NP_610234.3	35585	CG3420	uncharacterized protein
XP_063829773.1	NP_650442.1	41850	MRG15	MORF-related gene 15
XP_063829775.1	NP_610001.1	35265	fbp	fructose-1,6-bisphosphatase
XP_063829777.1	NP_572400.1	31679	CG15478	uncharacterized protein
XP_063829778.1	NP_651016.1	42606	CG7084	uncharacterized protein
XP_063829781.1	NP_727938.1	64875	disco-r	disco-related
XP_063829783.1	NP_569992.1	31212	temp	tempura
XP_063829784.1	NP_609992.1	35255	Pmvk	Phosphomevalonate kinase
XP_063829785.1	NP_650443.3	41851	l(3)neo43	lethal (3) neo43
XP_063829792.1	NP_727306.1	318161	CG32708	uncharacterized protein
XP_063829796.1	NP_610294.1	35688	Cyt-b5	Cytochrome b5
XP_063829797.1	NP_523889.1	38302	mRpL23	mitochondrial ribosomal protein L23
XP_063829798.1	NP_649713.1	40873	Dtwd2	DTW domain containing 2
XP_063829799.1	NP_524022.1	39253	mRpL2	mitochondrial ribosomal protein L2
XP_063829805.1	NP_648417.1	39222	OXA1L	OXA1L mitochondrial inner membrane protein
XP_063829806.1	NP_569993.1	31213	CG3071	uncharacterized protein
XP_063829807.1	NP_650571.2	42028	CG10324	uncharacterized protein
XP_063829809.1	NP_650437.4	41842	CG42404	uncharacterized protein
XP_063829810.1	NP_647633.1	38192	CG13926	uncharacterized protein
XP_063829812.1	NP_524002.1	39088	RpS17	Ribosomal protein S17
XP_063829814.1	NP_649969.1	41226	CG3909	uncharacterized protein
XP_063829820.1	NP_573338.1	32885	CG7332	uncharacterized protein
XP_063829821.1	NP_001097312.1	5740580	CG34443	uncharacterized protein
XP_063829823.1	NP_001097901.2	50072	CG42812	uncharacterized protein
XP_063829825.1	NP_651259.1	42914	CG17780	uncharacterized protein
XP_063829830.1	NP_651257.1	42912	CG17782	uncharacterized protein
XP_063829832.1	NP_572755.1	32141	CG10347	uncharacterized protein
XP_063829836.1	NP_609037.1	33908	epsilonCOP	Coat Protein (coatomer) epsilon
XP_063829841.1	NP_650164.1	41481	Rsbp15	Radial spoke binding protein 15
XP_063829842.1	NP_572813.2	32211	CG1463	uncharacterized protein
XP_063829843.1	NP_650073.1	41372	RpL24-like	Ribosomal protein L24-like
XP_063829845.1	NP_729654.1	39235	CG32069	uncharacterized protein
XP_063829847.1	NP_651256.2	42911	CG13614	uncharacterized protein
XP_063829851.1	NP_569863.1	31030	Sec22	Secretory 22
XP_063829852.1	NP_727023.1	31493	Snx27	Sorting nexin 27
XP_063829856.1	NP_651885.1	43737	Tbca	Tubulin binding cofactor A
XP_063829858.1	NP_573388.1	32940	Idh3a	Isocitrate dehydrogenase 3a
XP_063829861.1	NP_651395.1	43077	Vps33B	Vacuolar protein sorting 33B
XP_063829863.1	NP_477133.1	37733	Pi3K59F	Phosphatidylinositol 3-kinase 59F
XP_063829866.1	NP_476699.1	41140	Ras85D	Ras oncogene at 85D
XP_063829867.1	NP_609566.1	34656	Trm1	tRNA methyltransferase 1
XP_063829868.1	NP_572603.1	31943	CG2972	uncharacterized protein
XP_063829869.1	NP_650176.3	41495	CG10038	uncharacterized protein
XP_063829871.1	NP_650530.2	41973	Mat89Ba	Maternal transcript 89Ba
XP_063829872.1	NP_726036.2	37414	Xpd	Xeroderma pigmentosum D
XP_063829873.1	NP_523590.1	35054	fws	four way stop
XP_063829875.1	NP_570054.2	31308	CG10793	uncharacterized protein
XP_063829876.1	NP_001036320.3	3355171	FucTC	alpha1,3-fucosyltransferase C
XP_063829879.1	NP_609075.1	33955	Daao2	D-amino acid oxidase 2
XP_063829882.1	NP_524485.1	42933	Syx18	Syntaxin 18
XP_063829885.1	NP_001034051.1	3885575	Dpm3	Dolichyl-phosphate mannosyltransferase subunit 3
XP_063829886.1	NP_525071.2	31381	rb	ruby
XP_063829887.1	NP_649133.1	40138	Lon	Lon protease
XP_063829888.1	NP_650145.1	41460	DCAF12	DDB1 and CUL4 associated factor 12
XP_063829889.1	NP_649888.1	41121	CG8132	uncharacterized protein
XP_063829890.1	NP_651838.1	43672	Chchd3	Coiled-coil-helix-coiled-coil-helix domain containing 3
XP_063829891.1	NP_525047.1	31221	Raf	Raf oncogene
XP_063829906.1	NP_612066.1	38101	dpr20	defective proboscis extension response 20
XP_063829909.1	NP_524112.1	39844	Smn	survival motor neuron
XP_063829911.1	NP_652054.1	47718	Hinfp	Histone H4 transcription factor
XP_063829912.1	NP_648345.1	39132	Prps	Phosphoribosyl pyrophosphate synthetase
XP_063829916.1	NP_611820.1	37751	sigmar	salivary glands marred
XP_063829917.1	NP_611224.1	36976	CG4866	uncharacterized protein
XP_063829933.1	NP_611297.3	37075	CG10914	uncharacterized protein
XP_063829935.1	NP_524361.4	41853	Tm2	Tropomyosin 2
XP_063829936.1	NP_524750.2	44409	Cbp80	cap binding protein 80
XP_063829937.1	NP_611139.1	36856	Dolk	Dolichol kinase
XP_063829939.1	NP_649990.2	41254	Sirt6	Sirtuin 6
XP_063829940.1	NP_650631.1	42105	CG5823	uncharacterized protein
XP_063829941.1	NP_524359.2	41848	Cp190	Centrosomal protein 190kD
XP_063829945.1	NP_730286.3	39962	Eip74EF	Ecdysone-induced protein 74EF
XP_063829948.1	NP_609285.1	34256	Aldh	Aldehyde dehydrogenase
XP_063829950.1	NP_001033805.1	3885565	PIP4K	Phosphatidylinositol 5-phosphate 4-kinase
XP_063829952.1	NP_609655.2	34762	Hacd2	3-hydroxyacyl-CoA dehydratase 2
XP_063829954.1	NP_524325.1	41491	svp	seven up
XP_063829955.1	NP_572318.1	31578	ND-B16.6	NADH dehydrogenase (ubiquinone) B16.6 subunit
XP_063829958.1	NP_650572.2	42029	CCT3	Chaperonin containing TCP1 subunit 3
XP_063829959.1	NP_651649.1	43417	DIP-gamma	Dpr-interacting protein gamma
XP_063829961.1	NP_728244.1	32933	CG32533	uncharacterized protein
XP_063829969.1	NP_569983.1	31189	CG3630	uncharacterized protein
XP_063829970.1	NP_651949.2	43841	unc-13	unc-13
XP_063829971.1	NP_569994.1	31214	CG2924	uncharacterized protein
XP_063829972.1	NP_652499.2	50363	ksh	kish
XP_063829973.1	NP_523361.1	32569	vap	vacuolar peduncle
XP_063829975.1	NP_523909.2	38456	Ubi-p63E	Ubiquitin-63E
XP_063829977.1	NP_523399.1	32796	ari-1	ariadne 1
XP_063829978.1	NP_523371.2	32619	para	paralytic
XP_063829979.1	NP_572302.2	31557	Rbcn-3A	Rabconnectin-3A
XP_063829980.1	NP_524840.2	45785	IleRS	Isoleucyl-tRNA synthetase
XP_063829981.1	NP_620122.2	42265	EndoA	Endophilin A
XP_063829988.1	NP_610522.1	36013	Lsm11	Lsm11
XP_063829989.1	NP_524514.2	43162	gro	groucho
XP_063829991.1	NP_651549.1	43282	TTLL6B	Tubulin tyrosine ligase-like 6B
XP_063829994.1	NP_511044.1	31441	Cdk7	Cyclin-dependent kinase 7
XP_063829995.1	NP_524784.1	44793	abo	abnormal oocyte
XP_063829996.1	NP_001286508.1	19835383	PIG-V	Phosphatidylinositol glycan anchor biosynthesis class V
XP_063829997.1	NP_608344.1	32977	Ubqn	Ubiquilin
XP_063829998.1	NP_649907.1	41151	MBD-like	Methyl-CpG binding domain protein-like
XP_063830002.1	NP_650097.2	41398	Csk	C-terminal Src kinase
XP_063830004.1	NP_651759.4	43558	Tace	tace
XP_063830005.1	NP_523929.2	38580	Dhc64C	Dynein heavy chain 64C
XP_063830011.1	NP_001036437.1	3355010	IntS3	Integrator 3
XP_063830012.1	NP_477413.1	37034	aft	adrift
XP_063830014.1	NP_650098.1	41399	Elp1	Elongator complex protein 1
XP_063830015.1	NP_523539.2	34449	Lrr47	Leucine-rich repeat 47
XP_063830017.1	NP_572767.1	32153	Upf1	Upf1 RNA helicase
XP_063830018.1	NP_511167.1	32530	mRpS30	mitochondrial ribosomal protein S30
XP_063830019.1	NP_649899.1	41138	rump	rumpelstiltskin
XP_063830020.1	NP_647679.1	38256	Mfap1	Microfibril-associated protein 1
XP_063830021.1	NP_649688.1	40841	CG1105	uncharacterized protein
XP_063830022.1	NP_649732.1	40916	pyd3	pyd3
XP_063830026.1	NP_524043.1	39433	eIF2beta	eukaryotic translation initiation factor 2 subunit beta
XP_063830028.1	NP_523425.2	33062	shakB	shaking B
XP_063830033.1	NP_648895.1	39829	TyrRS	Tyrosyl-tRNA synthetase
XP_063830035.1	NP_730937.1	40661	CG31550	uncharacterized protein
XP_063830037.1	NP_572806.2	32202	hwt	heavyweight
XP_063830039.1	NP_525078.3	31456	SK	small conductance calcium-activated potassium channel
XP_063830041.1	NP_649155.3	40171	Su(Tpl)	Suppressor of Triplolethal
XP_063830042.1	NP_648571.1	39409	CrzR	Corazonin receptor
XP_063830044.1	NP_573102.1	32572	dpr18	defective proboscis extension response 18
XP_063830050.1	NP_788515.1	39834	CG33158	uncharacterized protein
XP_063830058.1	NP_572576.1	31907	Ptpmeg2	Protein tyrosine phosphatase Meg2
XP_063830059.1	NP_524107.2	39833	aos	argos
XP_063830062.1	NP_730169.1	39831	dsx-c73A	doublesex cognate 73A
XP_063830063.1	NP_611136.1	36851	RpS15	Ribosomal protein S15
XP_063830064.1	NP_730938.1	40663	NKCC	sodium potassium chloride cotransporter
XP_063830066.1	NP_726402.1	246496	CG30172	uncharacterized protein
XP_063830070.1	NP_611350.1	37141	Atg7	Autophagy-related 7
XP_063830071.1	NP_525100.2	33704	betaggt-I	beta subunit of type I geranylgeranyl transferase
XP_063830074.1	NP_572345.1	31612	CG3168	uncharacterized protein
XP_063830077.1	NP_511073.1	31700	RpS6	Ribosomal protein S6
XP_063830078.1	NP_651872.1	43718	pygo	pygopus
XP_063830083.1	NP_572313.1	31573	CG3823	uncharacterized protein
XP_063830085.1	NP_524885.1	47220	Fur1	Furin 1
XP_063830089.1	NP_524941.3	49701	gish	gilgamesh
XP_063830102.1	NP_651396.1	43078	CG4553	uncharacterized protein
XP_063830108.1	NP_524824.1	45382	ogre	optic ganglion reduced
XP_063830109.1	NP_511098.1	31872	Dsor1	Downstream of raf1
XP_063830113.1	NP_609685.1	34804	Smg5	Smg5 nonsense mediated mRNA decay factor
XP_063830114.1	NP_651979.1	44451	ear	ENL/AF9-related
XP_063830115.1	NP_788872.1	33027	Inx7	Innexin 7
